Country,NUE,Country.New,Wheat_Mt
Argentina,0.847677498,Argentina,12019.85883
Australia,0.540884848,Australia,18675.43157
Belgium,0.477660104,Belgium,1776.22063
Brazil,0.489763367,Brazil,4314.982585
Canada,0.503382906,Canada,25268.82924
China,0.262367378,China,63381.04408
France,0.741859905,France,37243.09017
Germany,0.458604324,Germany,23817.51086
Ghana,0.609406499,Ghana,0
Greece,0.459856556,Greece,1938.767484
Guadeloupe,0.053685944,Saint Martin,0
Guatemala,0.293753774,Guatemala,7.541621218
Guinea,0.443653045,Guinea,0
GuineaBissau,0.438533331,Guinea-Bissau,0
Guyana,0.532520669,Guyana,0
Haiti,0.559164743,Haiti,0
Honduras,0.102276147,Honduras,0.895145735
Hungary,0.393517742,Hungary,5132.470002
India,0.249920897,India,46658.0269
Indonesia,0.315279004,Indonesia,0
Iran,0.290222746,Iran,14512.39294
Iraq,0.26311096,Iraq,2058.105169
Ireland,0.308305002,Ireland,862.1698083
Israel,0.16453099,Israel,171.24447
Italy,0.455805101,Italy,5222.342653
Jamaica,0.099024394,Jamaica,0
Japan,0.392903331,Japan,849.0705038
Jordan,0.150127142,Jordan,25.09582225
Kazakhstan,2.000411395,Kazakhstan,11484.98949
Kenya,0.491527375,Kenya,359.1452955
KoreaDPRp,0.406169461,North Korea,146.881079
KoreaRep,0.238930469,South Korea,8.360356778
Kuwait,0.001932031,Kuwait,0.299688221
Kyrgyzstan,0.522334031,Kyrgyzstan,919.3016534
Laos,0.550487483,Laos,0.00584124
Latvia,0.315611854,Latvia,587.0283856
Lebanon,0.215349707,Lebanon,143.4058448
Lesotho,0.419309846,Lesotho,13.2423633
Liberia,0.396648682,Liberia,0
Libya,0.12115795,Libya,116.7147616
Lithuania,0.424127936,Lithuania,1211.810825
Luxembourg,0.107024208,Luxembourg,78.72080425
Macedonia,0.49968965,North Macedonia,332.2939176
Madagascar,0.515205939,Madagascar,11.7339446
Malawi,0.774150119,Malawi,1.843113459
Malaysia,0.428702561,Malaysia,0
Mali,0.740739749,Mali,7.436461186
Malta,0.256177311,Malta,4.264711838
Mauritania,0.309081016,Mauritania,0.788110802
Mexico,0.371099018,Mexico,2802.404767
MoldovaRep,1.569859655,Moldova,868.1209823
Mongolia,0.326761962,Mongolia,112.2586235
Morocco,0.844075168,Morocco,4927.987899
Mozambique,0.418298475,Mozambique,6.438330128
Myanmar,0.307230383,Myanmar,105.0439434
Namibia,0.095116071,Namibia,10.77602842
Nepal,0.654941498,Nepal,1119.092458
Netherlands,0.349190238,Netherlands,1158.895014
NewZealand,0.084425792,New Zealand,299.7158228
Nicaragua,0.489924273,Nicaragua,0
Niger,1.469347286,Niger,8.599483844
Nigeria,0.492181617,Nigeria,64.33387194
Norway,0.227883138,Norway,382.1758797
Oman,0.009315307,Oman,0.876749386
Pakistan,0.199840916,Pakistan,20750.05061
Panama,0.270181125,Panama,0
PapuaNGuin,0.50290454,Papua New Guinea,0
Paraguay,0.749722498,Paraguay,738.5063734
Peru,0.139351807,Peru,179.8146455
Philippines,0.424871818,Philippines,0
Poland,0.372470254,Poland,8561.251478
Portugal,0.273393257,Portugal,208.6868923
Qatar,0.015712206,Qatar,0.01975571
Romania,0.690233632,Romania,6905.504925
RussianFed,0.618786815,Russian Federation,46096.29644
Rwanda,0.689561126,Rwanda,19.73137499
SaudiArabia,0.07079879,Saudi Arabia,2683.050709
Senegal,0.526524646,Senegal,0.0012732
Serbia-Monte,0.542653484,Serbia,627.4470524
SierraLeone,0.46786172,Sierra Leone,0
Slovakia,0.545239018,Slovakia,1573.402757
Slovenia,0.091392517,Slovenia,141.2787318
SouthAfrica,0.377109318,South Africa,1897.728327
Spain,0.351261323,Spain,5547.265899
SriLanka,0.300592235,Sri Lanka,0
Sudan,0.153066619,Sudan,503.8482941
Suriname,0.470232881,Suriname,0
Swaziland,0.209666863,Eswatini,0.182553501
Sweden,0.521476717,Sweden,2182.199792
Switzerland,0.334494123,Switzerland,541.4282483
Syria,0.434580432,Syria,4705.012937
Tajikistan,0.607270333,Tajikistan,651.5767821
Tanzania,0.471577429,Tanzania,93.00731674
Thailand,0.331723381,Thailand,0.934300842
TimorLeste,0.78896687,Timor-Leste,0
Togo,0.4435062,Togo,0
TrinidadTob,0.144765881,Trinidad and Tobago,0
Tunisia,0.345786687,Tunisia,1519.685935
Turkey,0.422578931,Turkey,20800.41165
Turkmenistan,0.122828715,Turkmenistan,2911.795802
Uganda,0.641987993,Uganda,15.68701941
UK,0.417430671,United Kingdom,14968.17059
Ukraine,0.675185863,Ukraine,16711.08314
UntdArabEm,0.000155078,United Arab Emirates,0.074829262
Uruguay,0.291400659,Uruguay,531.6385086
USA,0.507989461,United States,49050.43034
Uzbekistan,0.114669263,Uzbekistan,5787.363421
Vanuatu,0.203875937,Vanuatu,0
Venezuela,0.33563944,Venezuela,0.418032171
VietNam,0.222367452,Vietnam,0
Yemen,0.431784545,Yemen,122.4798052
Zambia,0.424068636,Zambia,104.8654235
Zimbabwe,0.305390187,Zimbabwe,239.0638541
